"AANSLUITINGEN_AANTAL	POSTCODE	POSTCODE_EIND	POSTCODE_AANTAL	PRODUCTSOORT	TYPE_AANSLUITING_MEEST_VOORKOMEND	TOT_E_INV	SJI GEMIDDELD"
"34	1012EL	1012EL	1	ELK	3x25	0	0.0"
"27	1012EM	1012EM	1	ELK	1x25	0	0.0"
"17	1012EN	1012EN	1	ELK	3x25	0	0.0"
"15	1012EP	1012EP	1	ELK	3x25	3042	202.8"
"12	1012ER	1012ER	1	ELK	3x25	2472	206.0"
"42	1012ES	1012ES	1	ELK	3x25	4270	101.66666666666667"
"19	1012ET	1012ET	1	ELK	1x35	2304	121.26315789473684"
"11	1012EV	1012EV	1	ELK	1x35	0	0.0"
"33	1012EW	1012EW	1	ELK	3x25	0	0.0"
"17	1012EX	1012EX	1	ELK	3x25	0	0.0"
"20	1012EZ	1012EZ	1	ELK	3x25	1087	54.35"
"12	1012GA	1012GA	1	ELK	3x25	0	0.0"
"16	1012GB	1012GB	1	ELK	1x25	0	0.0"
"49	1012GC	1012GD	2	ELK	1x25	3	0.061224489795918366"
"31	1012GE	1012GE	1	ELK	1x35	68	2.193548387096774"
"12	1012GG	1012GG	1	ELK	3x25	0	0.0"
"104	1012GH	1012GH	1	ELK	1x35	3679	35.375"
"36	1012GJ	1012GJ	1	ELK	1x25	1	0.027777777777777776"
"33	1012GK	1012GK	1	ELK	3x25	0	0.0"
"53	1012GL	1012GL	1	ELK	1x25	153	2.8867924528301887"
"32	1012GM	1012GM	1	ELK	3x25	2403	75.09375"
"32	1012GN	1012GP	2	ELK	1x25	0	0.0"
"48	1012GR	1012GR	1	ELK	1x25	971	20.229166666666668"
"37	1012GS	1012GS	1	ELK	3x25	408	11.027027027027026"
"38	1012GT	1012GT	1	ELK	3x25	0	0.0"
"18	1012GV	1012GW	2	ELK	1x25	1637	90.94444444444444"
"53	1012GX	1012GZ	2	ELK	1x35	1258	23.735849056603772"
"16	1012HA	1012HA	1	ELK	1x25	0	0.0"
"28	1012HB	1012HC	2	ELK	3x25	4	0.14285714285714285"
"63	1012HD	1012HE	2	ELK	1x35	6	0.09523809523809523"
"54	1012HG	1012HG	1	ELK	1x25	0	0.0"
"18	1012HH	1012HH	1	ELK	1x25	0	0.0"
"11	1012HJ	1012HJ	1	ELK	1x25	0	0.0"
"10	1012HK	1012HK	1	ELK	1x35	0	0.0"
"51	1012HL	1012HL	1	ELK	1x25	873	17.11764705882353"
"20	1012HM	1012HM	1	ELK	3x25	0	0.0"
"10	1012HN	1012HR	2	ELK	3x25	0	0.0"
"34	1012HS	1012HT	2	ELK	1x35	0	0.0"
"38	1012HV	1012HW	2	ELK	1x25	3209	84.44736842105263"
"28	1012HX	1012HX	1	ELK	3x25	0	0.0"
"12	1012HZ	1012HZ	1	ELK	3x25	0	0.0"
"25	1012JA	1012JA	1	ELK	1x35	0	0.0"
"30	1012JB	1012JB	1	ELK	1x35	0	0.0"
"13	1012JC	1012JC	1	ELK	3x25	0	0.0"
"41	1012JD	1012JD	1	ELK	3x25	0	0.0"
"52	1012JE	1012JE	1	ELK	3x25	0	0.0"
"30	1012JG	1012JG	1	ELK	3x25	0	0.0"
"33	1012JH	1012JH	1	ELK	3x25	0	0.0"
"25	1012JJ	1012JL	3	ELK	3x25	0	0.0"
"38	1012JM	1012JM	1	ELK	1x35	2686	70.6842105263158"
"17	1012JN	1012JN	1	ELK	3x25	0	0.0"
"21	1012JP	1012JP	1	ELK	3x25	0	0.0"
"29	1012JS	1012JS	1	ELK	3x35	0	0.0"
"44	1012JT	1012JV	2	ELK	3x25	3214	73.04545454545455"
"10	1012JW	1012JZ	2	ELK	1x25	0	0.0"
"21	1012KB	1012KC	2	ELK	3x25	0	0.0"
"23	1012KD	1012KE	2	ELK	3x25	0	0.0"
"21	1012KK	1012KL	2	ELK	3x80	0	0.0"
"17	1012KM	1012KM	1	ELK	1x35	0	0.0"
"12	1012KN	1012KP	2	ELK	3x63	0	0.0"
"14	1012KR	1012KR	1	ELK	3x25	0	0.0"
"29	1012KS	1012KT	2	ELK	3x25	0	0.0"
"33	1012KV	1012KV	1	ELK	3x25	35	1.0606060606060606"
"16	1012KW	1012KW	1	ELK	1x25	0	0.0"
"12	1012KX	1012KZ	2	ELK	3x63	22	1.8333333333333333"
"21	1012LA	1012LB	2	ELK	1x35	0	0.0"
"23	1012LC	1012LC	1	ELK	3x25	0	0.0"
"10	1012LD	1012LD	1	ELK	3x25	0	0.0"
"21	1012LE	1012LG	2	ELK	1x35	0	0.0"
"13	1012LH	1012LH	1	ELK	3x25	4	0.3076923076923077"
"22	1012LJ	1012LJ	1	ELK	3x25	0	0.0"
"23	1012LK	1012LK	1	ELK	3x25	6399	278.2173913043478"
"23	1012LL	1012LL	1	ELK	3x25	0	0.0"
"20	1012LM	1012LM	1	ELK	3x25	1732	86.6"
"12	1012LN	1012LP	2	ELK	3x25	0	0.0"
"24	1012LR	1012LR	1	ELK	3x25	104	4.333333333333333"
"11	1012LS	1012LS	1	ELK	3x25	0	0.0"
"14	1012LT	1012LT	1	ELK	3x25	2507	179.07142857142858"
"10	1012LV	1012LV	1	ELK	1x35	0	0.0"
"45	1012LW	1012LX	2	ELK	3x25	0	0.0"
"41	1012LZ	1012LZ	1	ELK	1x35	0	0.0"
"27	1012MA	1012MA	1	ELK	1x35	0	0.0"
"26	1012MB	1012MB	1	ELK	1x25	0	0.0"
"33	1012MC	1012MC	1	ELK	3x25	0	0.0"
"27	1012MD	1012MD	1	ELK	3x25	0	0.0"
"10	1012ME	1012ME	1	ELK	3x35	0	0.0"
"27	1012MG	1012MH	2	ELK	3x25	0	0.0"
"18	1012MJ	1012MK	2	ELK	3x25	0	0.0"
"36	1012ML	1012ML	1	ELK	1x25	4	0.1111111111111111"
"16	1012MN	1012MN	1	ELK	1x25	0	0.0"
"47	1012MP	1012MR	2	ELK	3x25	2304	49.02127659574468"
"26	1012MS	1012MS	1	ELK	3x25	0	0.0"
"14	1012MT	1012MX	3	ELK	3x25	0	0.0"
"12	1012MZ	1012MZ	1	ELK	1x25	0	0.0"
"67	1012NA	1012NB	2	ELK	1x25	0	0.0"
"58	1012NC	1012NC	1	ELK	1x35	11	0.1896551724137931"
"51	1012ND	1012NE	2	ELK	3x25	944	18.50980392156863"
"74	1012NG	1012NG	1	ELK	1x25	6688	90.37837837837837"
"56	1012NH	1012NH	1	ELK	1x25	15431	275.55357142857144"
"42	1012NJ	1012NJ	1	ELK	1x35	1137	27.071428571428573"
"51	1012NK	1012NK	1	ELK	1x25	1043	20.45098039215686"
"25	1012NL	1012NL	1	ELK	1x35	0	0.0"
"28	1012NM	1012NM	1	ELK	3x25	0	0.0"
"21	1012NN	1012NN	1	ELK	3x25	0	0.0"
"16	1012NP	1012NP	1	ELK	3x80	0	0.0"
