rank,PC4,municipality,demand_dso_kwh,connections,demand_dso_gwh,li_feedin_kwh,li_feedin_gwh,st_feedin_kwh,st_feedin_gwh,solar_park_gwh,wind_gwh,biz_kwh,biz_gwh,total_feedin_gwh,total_supply_gwh,demand_total_gwh,net_balance_gwh,supply_ratio_pct,business_park,balance_class,slope_kwh_yr,growth_rate_pct_yr,significant,deficit_abs,demand_per_conn,has_biz_park,industrial_proxy_gwh,demand_synthetic_gwh,congestion_status,congestion_score,net_balance_p3_gwh,composite_siting,composite_siting_v1_proxy_excl
61,3911,Rhenen,36751916.6,7792.0,36.7519166,0.0,0.0,8489856.97,8.48985697,0.0,0.0,1532850.0,1.53285,8.48985697,8.48985697,38.284766600000005,-29.794909630000006,22.1755484595275,,severe_deficit,36054.9,0.1,False,29.794909630000006,0.0049133427361396,0.0,0.0,38.284766600000005,GREEN,0.2,-29.794909630000006,0.1593,0.6
62,6741,Wageningen,34567034.0,5788.0,34.567034,9924183.0,9.924183,0.0,0.0,0.0,0.0675,1941290.0,1.94129,9.924183,9.991683,36.508324,-26.516641,27.368232515959924,,high_deficit,-2972537.7,-8.6,True,26.516641,0.0063075888044229,0.0,0.0,36.508324,GREEN,0.2,-26.516641,0.1527,0.5449
63,3871,Nijkerk,19052982.0,4505.0,19.052982,5244063.0,5.244063,0.0,0.0,0.0,0.0,791750.0,0.79175,5.244063,5.244063,19.844732,-14.600669,26.425466466364977,,high_deficit,-949819.1,-4.99,False,14.600669,0.0044050459489456,0.0,0.0,19.844732,GREEN,0.2,-14.600669,0.129,0.3447
64,3853,Wageningen,16873291.0,4335.0,16.873291,4811054.0,4.811054,0.0,0.0,0.0,0.0,402450.0,0.40245,4.811054,4.811054,17.275740999999996,-12.464686999999996,27.848611529890388,,high_deficit,-694901.3,-4.12,False,12.464686999999996,0.0039851767012687,0.0,0.0,17.275740999999996,GREEN,0.2,-12.464686999999996,0.1248,0.3089
65,3852,Wageningen,12575886.0,2737.0,12.575886,3136357.0,3.136357,0.0,0.0,0.0,0.0,949960.0,0.94996,3.136357,3.136357,13.525846,-10.389489,23.18788044755204,,severe_deficit,-514757.0,-4.09,False,10.389489,0.004941850931677,0.0,0.0,13.525846,GREEN,0.2,-10.389489,0.1206,0.274
66,3863,Nijkerk,10682670.0,3131.0,10.68267,3073542.0,3.073542,0.0,0.0,0.0,0.0,218010.0,0.21801,3.073542,3.073542,10.90068,-7.827138,28.19587401886855,,high_deficit,-802627.9,-7.51,True,7.827138,0.0034815330565314,0.0,0.0,10.90068,GREEN,0.2,-7.827138,0.1155,0.2309
67,3864,Nijkerk,9550629.0,1836.0,9.550629,2738824.0,2.738824,0.0,0.0,0.0,0.0,207980.0,0.20798,2.738824,2.738824,9.758609,-7.019785,28.06572125187104,,high_deficit,-731226.6,-7.66,True,7.019785,0.0053151465141612,0.0,0.0,9.758609,GREEN,0.2,-7.019785,0.1139,0.2174
68,6744,Rhenen,7910705.0,1310.0,7.910705,2504682.0,2.504682,0.0,0.0,0.0,0.0,907660.0,0.90766,2.504682,2.504682,8.818365,-6.313683,28.40302028777443,,high_deficit,-440442.4,-5.57,False,6.313683,0.0067315763358778,0.0,0.0,8.818365,GREEN,0.2,-6.313683,0.1125,0.2055
69,3886,Rhenen,6419294.0,1104.0,6.419294,1344738.0,1.344738,0.0,0.0,0.0,0.0,308180.0,0.30818,1.344738,1.344738,6.727474,-5.382736,19.98875060683996,,severe_deficit,-366901.8,-5.72,False,5.382736,0.0060937264492753,0.0,0.0,6.727474,GREEN,0.2,-5.382736,0.1107,0.1899
70,6745,Rhenen,1708528.0,218.0,1.708528,457166.0,0.457166,0.0,0.0,0.0,0.0,107940.0,0.10794,0.457166,0.457166,1.816468,-1.359302,25.16785321844371,,high_deficit,-161036.3,-9.43,False,1.359302,0.0083324220183486,0.0,0.0,1.816468,GREEN,0.2,-1.359302,0.1026,0.1223
71,3912,Rhenen,722492.78,250.0,0.7224927800000001,0.0,0.0,178044.72,0.17804472,0.0,0.0,0.0,0.0,0.17804472,0.17804472,0.7224927800000001,-0.5444480600000001,24.643114080669427,,severe_deficit,-29394.9,-4.07,True,0.5444480600000001,0.00288997112,0.0,0.0,0.7224927800000001,GREEN,0.2,-0.5444480600000001,0.101,0.1086
72,3937,Renswoude,130256.91,21.0,0.13025691,0.0,0.0,27023.01,0.02702301,0.0,0.0,0.0,0.0,0.02702301,0.02702301,0.13025691,-0.1032339,20.745932020036403,,severe_deficit,19662.8,15.1,True,0.1032339,0.00620271,0.0,0.0,0.13025691,GREEN,0.2,-0.1032339,0.1001,0.1012
73,3727,Renswoude,46119.97,13.0,0.04611997,0.0,0.0,12994.02,0.01299402,0.0,0.0,0.0,0.0,0.01299402,0.01299402,0.04611997,-0.03312595,28.17438953234358,,high_deficit,218.3,0.47,False,0.03312595,0.00354769,0.0,0.0,0.04611997,GREEN,0.2,-0.03312595,0.1,0.1
